gender,country,fbref,fbref_name,fotmob,fotmob_name,transfermarkt,transfermarkt_name,transfermarkt_link,fcpython,fivethirtyeight,football_data,american_soccer_analysis
M,Brazil,d5ae3703,Grêmio,9769.0,Gremio,210.0,Grêmio Foot-Ball Porto Alegrense,gremio-porto-alegre,Grêmio,Grêmio,Gremio,
M,Brazil,6f7e1f03,Internacional,8702.0,Internacional,6600.0,Sport Club Internacional,sc-internacional-porto-alegre,Sport Club Internacional,Internacional,Internacional,
M,Brazil,d081b697,Juventude,10274.0,Juventude,10492.0,Esporte Clube Juventude,esporte-clube-juventude,,Juventude,Juventude,
M,Brazil,abdce579,Palmeiras,10283.0,Palmeiras,1023.0,Sociedade Esportiva Palmeiras,se-palmeiras-sao-paulo,Sociedade Esportiva Palmeiras,Palmeiras,Palmeiras,
M,Brazil,712c528f,Santos,8514.0,Santos FC,221.0,Santos FC,fc-santos,Santos FC,Santos,Santos,
M,Brazil,5f232eb1,São Paulo,10277.0,Sao Paulo,585.0,São Paulo Futebol Clube,fc-sao-paulo,São Paulo Futebol Clube,São Paulo,Sao Paulo,
M,Brazil,ece66b78,Sport Recife,6305.0,Sport Recife,8718.0,Sport Club do Recife,sport-club-do-recife,,Sport Recife,Sport Recife,
M,Brazil,83f55dbe,Vasco da Gama,10276.0,Vasco da Gama,978.0,Clube de Regatas Vasco da Gama,vasco-da-gama-rio-de-janeiro,Vasco Da Gama,Vasco da Gama,Vasco,
M,Budapest,6611f992,Ferencváros,8222.0,Ferencvaros,279.0,Ferencvárosi TC,ferencvaros-budapest,Ferencvárosi TC,Ferencvaros,,
M,Bulgaria,cbde2682,CSKA Sofia,10144.0,PFC CSKA-Sofia,208.0,CSKA-Sofia,zska-sofia,CSKA Sofia,CSKA Sofia,,
M,Bulgaria,488c6ba1,Ludogorets Razgrad,210173.0,Ludogorets Razgrad,31614.0,PFK Ludogorets Razgrad,pfk-ludogorets-razgrad,PFK Ludogorets Razgrad,Ludogorets,,
M,Croatia,edd0d381,Dinamo Zagreb,10156.0,Dinamo Zagreb,419.0,GNK Dinamo Zagreb,gnk-dinamo-zagreb,GNK Dinamo Zagreb,Dinamo Zagreb,,
M,Croatia,25dbe099,Rijeka,10162.0,Rijeka,144.0,HNK Rijeka,hnk-rijeka,HNK Rijeka,Rijeka,,
M,Cyprus,01689b1a,AÉK Lárnaka,7797.0,AEK Larnaca,2156.0,AEK Larnaca,aek-larnaka,AEK Larnaca,AEK Larnaca,,
M,Cyprus,d27fe90c,Anorthosis,6243.0,Anorthosis,3899.0,Anorthosis Famagusta,anorthosis-famagusta,,Anorthosis Famagusta,,
M,Cyprus,eab315a6,APOEL,8621.0,APOEL Nicosia,2784.0,APOEL Nicosia,apoel-nikosia,APOEL Nicosia,Apoel Nicosia,,
M,Cyprus,8dff1828,Apollon,8003.0,Apollon Limassol,429.0,Apollon Limassol,apollon-limassol,Apollon Limassol,Apollon Limassol,,
M,Cyprus,15e031af,AC Omonia,8044.0,Omonia Nicosia,829.0,Omonia Nicosia,omonia-nikosia,Omonia Nicosia,Omonia Nicosia,,
M,Czech,8424bb18,Jablonec,7758.0,Jablonec,1322.0,FK Jablonec,fk-jablonec,FK Jablonec,Jablonec,,
M,Czech,111cbfb1,Slavia Prague,7787.0,Slavia Prague,62.0,SK Slavia Prague,sk-slavia-prag,SK Slavia Prague,Slavia Prague,,
M,Czech,38988e1a,Slovácko,2021.0,Slovacko,5544.0,1.FC Slovacko,1-fc-slovacko,,Slovácko,,
M,Czech,2c9bebcd,Slovan Liberec,10245.0,Slovan Liberec,697.0,FC Slovan Liberec,fc-slovan-liberec,FC Slovan Liberec,Slovan Liberec,,
M,Czech,ecb862be,Sparta Prague,10247.0,Sparta Prague,197.0,AC Sparta Prague,ac-sparta-prag,AC Sparta Prague,Sparta Prague,,
M,Czech,02cd81bf,Viktoria Plzeň,6033.0,Viktoria Plzen,941.0,FC Viktoria Plzen,fc-viktoria-pilsen,FC Viktoria Plzen,Viktoria Plzen,,
M,Czech,d9097887,Fastav Zlín,1860.0,FC Zlin,5545.0,FC Trinity Zlin,fc-fastav-zlin,,,,
M,Denmark,ab75e049,Brøndby,8595.0,Brøndby IF,206.0,Bröndby IF,brondby-if,Bröndby IF,Brondby,Brondby,
M,Denmark,18050b20,FC Copenhagen,8391.0,FC København,190.0,FC Copenhagen,fc-kopenhagen,FC Copenhagen,FC Copenhagen,FC Copenhagen,
M,Denmark,3c4fb635,Midtjylland,8113.0,Midtjylland,865.0,FC Midtjylland,fc-midtjylland,FC Midtjylland,FC Midtjylland,Midtjylland,
M,Denmark,d06bc460,Randers,8410.0,Randers FC,5724.0,Randers FC,randers-fc,,Randers FC,Randers FC,
M,Denmark,b0dd06cd,Silkeborg,8415.0,Silkeborg,1177.0,Silkeborg IF,silkeborg-if,,Silkeborg,Silkeborg,
M,England,293cb36b,Barnsley,8283.0,Barnsley,349.0,Barnsley FC,fc-barnsley,,Barnsley,Barnsley,
M,England,ec79b7c2,Birmingham City,8658.0,Birmingham City,337.0,Birmingham City,birmingham-city,,Birmingham City,Birmingham,
M,England,e090f40b,Blackburn Rovers,8655.0,Blackburn Rovers,164.0,Blackburn Rovers,blackburn-rovers,,Blackburn,Blackburn,
M,England,7cbf5cb4,Blackpool,8483.0,Blackpool,1181.0,Blackpool FC,fc-blackpool,Blackpool FC,Blackpool,Blackpool,
M,England,445d3104,Bolton Wanderers,8559.0,Bolton Wanderers,355.0,Bolton Wanderers,bolton-wanderers,,Bolton,Bolton,
M,England,93493607,Bristol City,8427.0,Bristol City,698.0,Bristol City,bristol-city,,Bristol City,Bristol City,
M,England,943e8050,Burnley,8191.0,Burnley,1132.0,Burnley FC,burnley-fc,Burnley FC,Burnley,Burnley,
M,England,75fae011,Cardiff City,8344.0,Cardiff City,603.0,Cardiff City,cardiff-city,Cardiff City,Cardiff City,Cardiff,
M,England,7a8db6d4,Charlton Athletic,8451.0,Charlton Athletic,358.0,Charlton Athletic,charlton-athletic,Charlton Athletic,Charlton Athletic,Charlton,
M,England,f7e3dfe9,Coventry City,8669.0,Coventry City,990.0,Coventry City,coventry-city,Coventry City,Coventry City,Coventry,
M,England,26ab47ee,Derby County,10170.0,Derby County,22.0,Derby County,derby-county,Derby County,Derby County,Derby,
M,England,f5922ca5,Huddersfield Town,9796.0,Huddersfield Town,1110.0,Huddersfield Town,huddersfield-town,Huddersfield Town,Huddersfield Town,Huddersfield,
M,England,bd8769d1,Hull City,8667.0,Hull City,3008.0,Hull City,hull-city,Hull City,Hull City,Hull,
M,England,b74092de,Ipswich Town,9902.0,Ipswich Town,677.0,Ipswich Town,ipswich-town,,Ipswich Town,Ipswich,
M,England,e297cd13,Luton Town,8346.0,Luton Town,1031.0,Luton Town,luton-town,Luton Town,Luton Town,Luton,
M,England,7f59c601,Middlesbrough,8549.0,Middlesbrough,641.0,Middlesbrough FC,fc-middlesbrough,Middlesbrough FC,Middlesbrough,Middlesbrough,
M,England,e3c537a1,Millwall,10004.0,Millwall,1028.0,Millwall FC,fc-millwall,,Millwall,Millwall,
M,England,1c781004,Norwich City,9850.0,Norwich City,1123.0,Norwich City,norwich-city,Norwich City,Norwich City,Norwich,
M,England,d6e6321c,Peterborough United,8677.0,Peterborough United,1072.0,Peterborough United,peterborough-united,Peterborough United,Peterborough United,Peterboro,
M,England,22df8478,Preston North End,8411.0,Preston North End,466.0,Preston North End,preston-north-end,,Preston North End,Preston,
M,England,a757999c,Queens Park Rangers,10172.0,Queens Park Rangers,1039.0,Queens Park Rangers,queens-park-rangers,Queens Park Rangers,Queens Park Rangers,QPR,
M,England,b0ac61ff,Reading,9798.0,Reading,1032.0,Reading FC,fc-reading,Reading FC,Reading,Reading,
M,England,375d66f1,Rotherham United,8119.0,Rotherham United,1194.0,Rotherham United,rotherham-united,Rotherham United,Rotherham United,Rotherham,
