competition_type,competition_name,ccode,country,gender,id,league_url
Domestic Leagues - 3rd Tier and Lower,Gaucho,BRA,Brazil,M,10274,/leagues/10274/overview/gaucho
Domestic Leagues - 3rd Tier and Lower,Goiano,BRA,Brazil,M,10291,/leagues/10291/overview/goiano
Domestic Leagues - 3rd Tier and Lower,Mineiro,BRA,Brazil,M,10273,/leagues/10273/overview/mineiro
Domestic Leagues - 3rd Tier and Lower,Paulista A1,BRA,Brazil,M,10244,/leagues/10244/overview/paulista-a1
Domestic Cups,Recopa Gaucha,BRA,Brazil,M,10078,/leagues/10078/overview/recopa-gaucha
Domestic Leagues - 3rd Tier and Lower,Serie C,BRA,Brazil,M,8971,/leagues/8971/overview/serie-c
Domestic Leagues - 1st Tier,First Professional League,BUL,Bulgaria,M,270,/leagues/270/overview/first-professional-league
Domestic Cups,Cup,BUL,Bulgaria,M,271,/leagues/271/overview/cup
Domestic Cups,Super Cup,BUL,Bulgaria,M,272,/leagues/272/overview/super-cup
Domestic Leagues - 1st Tier,Premier League,CAN,Canada,M,9986,/leagues/9986/overview/premier-league
Domestic Leagues - 2nd Tier,Canadian Championship,CAN,Canada,M,9837,/leagues/9837/overview/canadian-championship
Domestic Leagues - 1st Tier,Primera Division,CHI,Chile,M,273,/leagues/273/overview/primera-division
Domestic Cups,Cup,CHI,Chile,M,9091,/leagues/9091/overview/cup
Domestic Leagues - 1st Tier,Primera B,CHI,Chile,M,9126,/leagues/9126/overview/primera-b
Domestic Leagues - 1st Tier,Primera Division Qualification,CHI,Chile,M,9761,/leagues/9761/overview/primera-division-qualification
Domestic Cups,Super Cup,CHI,Chile,M,9407,/leagues/9407/overview/super-cup
Domestic Leagues - 1st Tier,Super League,CHN,China,M,120,/leagues/120/overview/super-league
Domestic Cups,Cup,CHN,China,M,9550,/leagues/9550/overview/cup
Domestic Cups,Super Cup,CHN,China,M,9491,/leagues/9491/overview/super-cup
Domestic Leagues - 1st Tier,Super League Qualification,CHN,China,M,9901,/leagues/9901/overview/super-league-qualification
Domestic Leagues - 1st Tier,Primera A,COL,Colombia,M,274,/leagues/274/overview/primera-a
Domestic Leagues - 2nd Tier,Primera B,COL,Colombia,M,9125,/leagues/9125/overview/primera-b
Domestic Leagues - 1st Tier,Primera Division,CRC,Costa Rica,M,121,/leagues/121/overview/primera-division
Domestic Cups,Super cup,CRC,Costa Rica,M,10223,/leagues/10223/overview/super-cup
Domestic Leagues - 1st Tier,1. Division,CRO,Croatia,M,252,/leagues/252/overview/1.-division
Domestic Cups,FA Cup,CRO,Croatia,M,275,/leagues/275/overview/fa-cup
Domestic Cups,Super Cup,CRO,Croatia,M,276,/leagues/276/overview/super-cup
Domestic Leagues - 1st Tier,1. Division,CYP,Cyprus,M,136,/leagues/136/overview/1.-division
Domestic Cups,Cup,CYP,Cyprus,M,330,/leagues/330/overview/cup
Domestic Cups,Super Cup,CYP,Cyprus,M,521,/leagues/521/overview/super-cup
Domestic Leagues - 1st Tier,1. Liga,CZE,Czech Republic,M,122,/leagues/122/overview/1.-liga
Domestic Cups,Cup,CZE,Czech Republic,M,254,/leagues/254/overview/cup
Domestic Leagues - 2nd Tier,FNL,CZE,Czech Republic,M,253,/leagues/253/overview/fnl
Domestic Leagues - 1st Tier,Superligaen,DEN,Denmark,M,46,/leagues/46/overview/superligaen
Domestic Leagues - 2nd Tier,1. Division,DEN,Denmark,M,85,/leagues/85/overview/1.-division
Domestic Leagues - 3rd Tier and Lower,2. Division,DEN,Denmark,M,239,/leagues/239/overview/2.-division
Domestic Leagues - 3rd Tier and Lower,3. Division,DEN,Denmark,M,240,/leagues/240/overview/3.-division
Domestic Cups,DBU Pokalen,DEN,Denmark,M,242,/leagues/242/overview/dbu-pokalen
Domestic Leagues - 1st Tier,Kvindeligaen,DEN,Denmark,M,256,/leagues/256/overview/kvindeligaen
Domestic Leagues - 1st Tier,Serie A,ECU,Ecuador,M,246,/leagues/246/overview/serie-a
Domestic Leagues - 1st Tier,Premier League,EGY,Egypt,M,519,/leagues/519/overview/premier-league
Domestic Cups,Cup,EGY,Egypt,M,9941,/leagues/9941/overview/cup
Domestic Cups,League Cup,EGY,Egypt,M,10270,/leagues/10270/overview/league-cup
Domestic Leagues - 1st Tier,Primera Division,SLV,El Salvador,M,335,/leagues/335/overview/primera-division
Domestic Leagues - 1st Tier,Premier League,ENG,England,M,47,/leagues/47/overview/premier-league
Domestic Leagues - 2nd Tier,Championship,ENG,England,M,48,/leagues/48/overview/championship
Domestic Leagues - 3rd Tier and Lower,League One,ENG,England,M,108,/leagues/108/overview/league-one
Domestic Leagues - 3rd Tier and Lower,League Two,ENG,England,M,109,/leagues/109/overview/league-two
Domestic Leagues - 3rd Tier and Lower,National League,ENG,England,M,117,/leagues/117/overview/national-league
Domestic Leagues - 3rd Tier and Lower,National North & South,ENG,England,M,8944,/leagues/8944/overview/national-north-&-south
Domestic Leagues - 3rd Tier and Lower,Premier Division,ENG,England,M,8947,/leagues/8947/overview/premier-division
Domestic Youth Leagues,Premier League 2 Div 1,ENG,England,M,9084,/leagues/9084/overview/premier-league-2-div-1
Domestic Youth Leagues,Premier League 2 Div 2,ENG,England,M,10176,/leagues/10176/overview/premier-league-2-div-2
Domestic Cups,Community Shield,ENG,England,M,247,/leagues/247/overview/community-shield
Domestic Cups,FA Cup,ENG,England,M,132,/leagues/132/overview/fa-cup
Domestic Cups,EFL Cup,ENG,England,M,133,/leagues/133/overview/efl-cup
Domestic Cups,EFL Trophy,ENG,England,M,142,/leagues/142/overview/efl-trophy
Domestic Cups,FA Trophy,ENG,England,M,9253,/leagues/9253/overview/fa-trophy
Domestic Youth Leagues,Premier League U18,ENG,England,M,10068,/leagues/10068/overview/premier-league-u18
Domestic Leagues - 1st Tier,WSL,ENG,England,W,9227,/leagues/9227/overview/wsl
Domestic Cups,Women's Community Shield,ENG,England,W,10173,/leagues/10173/overview/womens-community-shield
Domestic Cups,FA Cup (Women),ENG,England,W,10082,/leagues/10082/overview/fa-cup-(women)
Domestic Cups,Women's League Cup,ENG,England,W,9717,/leagues/9717/overview/womens-league-cup
Domestic Leagues - 1st Tier,Meistriliiga,EST,Estonia,M,248,/leagues/248/overview/meistriliiga
Domestic Leagues - 1st Tier,Meistrilia Qualification,EST,Estonia,M,10034,/leagues/10034/overview/meistrilia-qualification
Domestic Cups,Super Cup,EST,Estonia,M,9069,/leagues/9069/overview/super-cup
Domestic Cups,Cup,FRO,Faroe Islands,M,9523,/leagues/9523/overview/cup
Domestic Leagues - 1st Tier,Premier League,FRO,Faroe Islands,M,250,/leagues/250/overview/premier-league
Domestic Leagues - 1st Tier,Premier League Qualification,FRO,Faroe Islands,M,10187,/leagues/10187/overview/premier-league-qualification
Domestic Leagues - 1st Tier,Veikkausliiga,FIN,Finland,M,51,/leagues/51/overview/veikkausliiga
Domestic Leagues - 1st Tier,Finland Promotion/Relegation,FIN,Finland,M,52,/leagues/52/overview/finland-promotion%2frelegation
Domestic Leagues - 2nd Tier,Ykkönen,FIN,Finland,M,251,/leagues/251/overview/ykknen
Domestic Cups,Cup,FIN,Finland,M,143,/leagues/143/overview/cup
Domestic Leagues - 3rd Tier and Lower,Kakkonen,FIN,Finland,M,8969,/leagues/8969/overview/kakkonen
Domestic Leagues - 1st Tier,Kansallinen (Women),FIN,Finland,W,10174,/leagues/10174/overview/kansallinen-(women)
Domestic Leagues - 1st Tier,Kansallinen Qualification (Women),FIN,Finland,W,10186,/leagues/10186/overview/kansallinen-qualification-(women)
Domestic Leagues - 1st Tier,Ligue 1,FRA,France,M,53,/leagues/53/overview/ligue-1
Domestic Leagues - 2nd Tier,Ligue 2,FRA,France,M,110,/leagues/110/overview/ligue-2
Domestic Leagues - 3rd Tier and Lower,National,FRA,France,M,8970,/leagues/8970/overview/national
Domestic Cups,Coupe de France,FRA,France,M,134,/leagues/134/overview/coupe-de-france
Domestic Leagues - 1st Tier,Division 1 (W),FRA,France,W,9677,/leagues/9677/overview/division-1-(w)
Domestic Leagues - 1st Tier,Ligue 1 Qualification,FRA,France,M,9666,/leagues/9666/overview/ligue-1-qualification
Domestic Leagues - 2nd Tier,Ligue 2 Qualification,FRA,France,M,9667,/leagues/9667/overview/ligue-2-qualification
Domestic Cups,Super Cup,FRA,France,M,207,/leagues/207/overview/super-cup
Domestic Leagues - 1st Tier,Erovnuli,GEO,Georgia,M,439,/leagues/439/overview/erovnuli
Domestic Leagues - 1st Tier,Erovnuli Qualification,GEO,Georgia,M,9310,/leagues/9310/overview/erovnuli-qualification
Domestic Leagues - 1st Tier,1. Bundesliga,GER,Germany,M,54,/leagues/54/overview/1.-bundesliga
Domestic Leagues - 2nd Tier,2. Bundesliga,GER,Germany,M,146,/leagues/146/overview/2.-bundesliga
Domestic Leagues - 3rd Tier and Lower,3. Liga,GER,Germany,M,208,/leagues/208/overview/3.-liga
Domestic Cups,DFB Pokal,GER,Germany,M,209,/leagues/209/overview/dfb-pokal
Domestic Leagues - 3rd Tier and Lower,Regionalliga,GER,Germany,M,512,/leagues/512/overview/regionalliga
Domestic Leagues - 1st Tier,1. Bundesliga Promotion/Relegation,GER,Germany,M,9081,/leagues/9081/overview/1.-bundesliga-promotion%2frelegation
Domestic Leagues - 2nd Tier,2. Bundesliga Qualification,GER,Germany,M,9734,/leagues/9734/overview/2.-bundesliga-qualification
Domestic Cups,Super Cup,GER,Germany,M,8924,/leagues/8924/overview/super-cup
Domestic Leagues - 1st Tier,Frauen Bundesliga,GER,Germany,W,9676,/leagues/9676/overview/frauen-bundesliga
Domestic Leagues - 1st Tier,Premier League,GHA,Ghana,M,522,/leagues/522/overview/premier-league
Domestic Leagues - 1st Tier,Super League 1,GRE,Greece,M,135,/leagues/135/overview/super-league-1
Domestic Cups,Greece Cup,GRE,Greece,M,145,/leagues/145/overview/greece-cup
Domestic Leagues - 2nd Tier,Super League 2,GRE,Greece,M,8815,/leagues/8815/overview/super-league-2
Domestic Leagues - 1st Tier,Super League Qualification,GRE,Greece,M,10019,/leagues/10019/overview/super-league-qualification
Domestic Leagues - 1st Tier,Liga Nacional,GUA,Guatemala,M,336,/leagues/336/overview/liga-nacional
Domestic Leagues - 1st Tier,Liga Nacional,HON,Honduras,M,337,/leagues/337/overview/liga-nacional
Domestic Leagues - 1st Tier,NB I,HUN,Hungary,M,212,/leagues/212/overview/nb-i
Domestic Cups,FA Cup,HUN,Hungary,M,213,/leagues/213/overview/fa-cup
Domestic Leagues - 1st Tier,Besta deildin,ISL,Iceland,M,215,/leagues/215/overview/besta-deildin
Domestic Leagues - 2nd Tier,1. Deild,ISL,Iceland,M,216,/leagues/216/overview/1.-deild
Domestic Cups,Cup,ISL,Iceland,M,217,/leagues/217/overview/cup
Domestic Cups,Super Cup,ISL,Iceland,M,10009,/leagues/10009/overview/super-cup
Domestic Leagues - 3rd Tier and Lower,2. Deild,ISL,Iceland,M,10226,/leagues/10226/overview/2.-deild
Domestic Leagues - 1st Tier,Super League,IND,India,M,9478,/leagues/9478/overview/super-league
Domestic Leagues - 2nd Tier,I League,IND,India,M,8982,/leagues/8982/overview/i-league
Domestic Leagues - 1st Tier,Liga 1,IDN,Indonesia,M,8983,/leagues/8983/overview/liga-1
Domestic Leagues - 2nd Tier,Liga 2,IDN,Indonesia,M,10056,/leagues/10056/overview/liga-2
Domestic Leagues - 1st Tier,Persian Gulf,IRN,Iran,M,523,/leagues/523/overview/persian-gulf
Domestic Leagues - 2nd Tier,Azadegan,IRN,Iran,M,9372,/leagues/9372/overview/azadegan
Domestic Cups,Hazfi cup,IRN,Iran,M,9487,/leagues/9487/overview/hazfi-cup
Domestic Leagues - 1st Tier,Premier Division,IRL,Ireland,M,126,/leagues/126/overview/premier-division
Domestic Leagues - 1st Tier,Premier Division Qualification,IRL,Ireland,M,221,/leagues/221/overview/premier-division-qualification
Domestic Leagues - 2nd Tier,First Division,IRL,Ireland,M,218,/leagues/218/overview/first-division
Domestic Cups,FAI Cup,IRL,Ireland,M,219,/leagues/219/overview/fai-cup
Domestic Cups,League Cup,IRL,Ireland,M,220,/leagues/220/overview/league-cup
Domestic Cups,Super Cup,IRL,Ireland,M,9431,/leagues/9431/overview/super-cup
Domestic Leagues - 1st Tier,Ligat HaAl,ISR,Israel,M,127,/leagues/127/overview/ligat-haal
Domestic Leagues - 2nd Tier,Leumit League,ISR,Israel,M,128,/leagues/128/overview/leumit-league
