competition_type,competition_name,ccode,country,gender,id,league_url
Domestic Leagues - 1st Tier,Premiership playoff,SCO,Scotland,M,181,/leagues/181/overview/premiership-playoff
Domestic Cups,Challenge Cup,SCO,Scotland,M,179,/leagues/179/overview/challenge-cup
Domestic Leagues - 2nd Tier,Championship playoff,SCO,Scotland,M,9737,/leagues/9737/overview/championship-playoff
Domestic Cups,League Cup,SCO,Scotland,M,180,/leagues/180/overview/league-cup
Domestic Leagues - 3rd Tier and Lower,League One Playoff,SCO,Scotland,M,9738,/leagues/9738/overview/league-one-playoff
Domestic Leagues - 3rd Tier and Lower,League Two Playoff,SCO,Scotland,M,9739,/leagues/9739/overview/league-two-playoff
Domestic Cups,Scottish Cup,SCO,Scotland,M,137,/leagues/137/overview/scottish-cup
Domestic Leagues - 1st Tier,Super Liga,SRB,Serbia,M,182,/leagues/182/overview/super-liga
Domestic Cups,Cup,SRB,Serbia,M,183,/leagues/183/overview/cup
Domestic Leagues - 1st Tier,Singapore Premier League,SIN,Singapore,M,461,/leagues/461/overview/singapore-premier-league
Domestic Cups,FA Cup,SVK,Slovakia,M,177,/leagues/177/overview/fa-cup
Domestic Leagues - 1st Tier,Super Liga,SVK,Slovakia,M,176,/leagues/176/overview/super-liga
Domestic Leagues - 1st Tier,Super Liga Qualification,SVK,Slovakia,M,9845,/leagues/9845/overview/super-liga-qualification
Domestic Leagues - 2nd Tier,Prva Liga,SVN,Slovenia,M,173,/leagues/173/overview/prva-liga
Domestic Cups,Cup,SVN,Slovenia,M,174,/leagues/174/overview/cup
Domestic Leagues - 1st Tier,Premier Soccer League,RSA,South Africa,M,537,/leagues/537/overview/premier-soccer-league
Domestic Leagues - 1st Tier,K League 1,KOR,South Korea,M,9080,/leagues/9080/overview/k-league-1
Domestic Leagues - 1st Tier,K League Qualification,KOR,South Korea,M,9422,/leagues/9422/overview/k-league-qualification
Domestic Cups,Cup,KOR,South Korea,M,9551,/leagues/9551/overview/cup
Domestic Leagues - 2nd Tier,K League 2,KOR,South Korea,M,9116,/leagues/9116/overview/k-league-2
Domestic Leagues - 1st Tier,LaLiga,ESP,Spain,M,87,/leagues/87/overview/laliga
Domestic Leagues - 2nd Tier,LaLiga2,ESP,Spain,M,140,/leagues/140/overview/laliga2
Domestic Leagues - 3rd Tier and Lower,Primera Division RFEF,ESP,Spain,M,8968,/leagues/8968/overview/primera-division-rfef
Domestic Leagues - 3rd Tier and Lower,Segunda Division RFEF,ESP,Spain,M,9138,/leagues/9138/overview/segunda-division-rfef
Domestic Leagues - 1st Tier,Primera Division Femenina,ESP,Spain,W,9907,/leagues/9907/overview/primera-division-femenina
Domestic Cups,Copa del Rey,ESP,Spain,M,138,/leagues/138/overview/copa-del-rey
Domestic Cups,Super Cup,ESP,Spain,M,139,/leagues/139/overview/super-cup
Domestic Leagues - 1st Tier,Allsvenskan,SWE,Sweden,M,67,/leagues/67/overview/allsvenskan
Domestic Leagues - 2nd Tier,Superettan,SWE,Sweden,M,168,/leagues/168/overview/superettan
Domestic Leagues - 1st Tier,Damallsvenskan (W),SWE,Sweden,W,9089,/leagues/9089/overview/damallsvenskan-(w)
Domestic Cups,Cup,SWE,Sweden,M,171,/leagues/171/overview/cup
Domestic Leagues - 3rd Tier and Lower,Ettan,SWE,Sweden,M,169,/leagues/169/overview/ettan
Domestic Leagues - 1st Tier,Super League,SUI,Switzerland,M,69,/leagues/69/overview/super-league
Domestic Leagues - 2nd Tier,Challenge League,SUI,Switzerland,M,163,/leagues/163/overview/challenge-league
Domestic Cups,Swiss Cup,SUI,Switzerland,M,164,/leagues/164/overview/swiss-cup
Domestic Leagues - 1st Tier,Premier League,TAN,Tanzania,M,9066,/leagues/9066/overview/premier-league
Domestic Leagues - 1st Tier,Premier League,THA,Thailand,M,8984,/leagues/8984/overview/premier-league
Domestic Leagues - 1st Tier,Ligue I,TUN,Tunisia,M,544,/leagues/544/overview/ligue-i
Domestic Leagues - 1st Tier,Ligue I Qualification,TUN,Tunisia,M,9669,/leagues/9669/overview/ligue-i-qualification
Domestic Leagues - 1st Tier,Super Lig,TUR,Turkey,M,71,/leagues/71/overview/super-lig
Domestic Leagues - 2nd Tier,1. Lig,TUR,Turkey,M,165,/leagues/165/overview/1.-lig
Domestic Cups,Super Cup,TUR,Turkey,M,166,/leagues/166/overview/super-cup
Domestic Cups,Turkish Cup,TUR,Turkey,M,151,/leagues/151/overview/turkish-cup
Domestic Leagues - 1st Tier,Premier League,UKR,Ukraine,M,441,/leagues/441/overview/premier-league
Domestic Leagues - 1st Tier,1. Division Qualification,UKR,Ukraine,M,10023,/leagues/10023/overview/1.-division-qualification
Domestic Cups,Cup,UKR,Ukraine,M,442,/leagues/442/overview/cup
Domestic Cups,Super Cup,UKR,Ukraine,M,443,/leagues/443/overview/super-cup
Domestic Leagues - 1st Tier,Arabian Gulf League,UAE,United Arab Emirates,M,538,/leagues/538/overview/arabian-gulf-league
Domestic Cups,Cup,UAE,United Arab Emirates,M,9943,/leagues/9943/overview/cup
Domestic Leagues - 1st Tier,MLS,USA,United States,M,130,/leagues/130/overview/mls
Domestic Leagues - 2nd Tier,USL Championship,USA,United States,M,8972,/leagues/8972/overview/usl-championship
Domestic Leagues - 3rd Tier and Lower,USL League One,USA,United States,M,9296,/leagues/9296/overview/usl-league-one
Domestic Cups,Open Cup,USA,United States,M,9441,/leagues/9441/overview/open-cup
Domestic Leagues - 1st Tier,NWSL,USA,United States,W,9134,/leagues/9134/overview/nwsl
Domestic Youth Leagues,MLS Next Pro,USA,United States,M,10282,/leagues/10282/overview/mls-next-pro
Domestic Leagues - 3rd Tier and Lower,NISA,USA,United States,M,10084,/leagues/10084/overview/nisa
Domestic Cups,NISA Legends Cup,USA,United States,M,10207,/leagues/10207/overview/nisa-legends-cup
Domestic Cups,NWSL Challenge Cup,USA,United States,W,10167,/leagues/10167/overview/nwsl-challenge-cup
Domestic Leagues - 1st Tier,Primera Division,URU,Uruguay,M,161,/leagues/161/overview/primera-division
Domestic Leagues - 2nd Tier,Segunda Division,URU,Uruguay,M,9122,/leagues/9122/overview/segunda-division
Domestic Leagues - 1st Tier,Primera Division,VEN,Venezuela,M,339,/leagues/339/overview/primera-division
Domestic Leagues - 1st Tier,V-League,VIE,Vietnam,M,9088,/leagues/9088/overview/v-league
Domestic Leagues - 1st Tier,Premier League,WAL,Wales,M,116,/leagues/116/overview/premier-league
Domestic Cups,Welsh Cup,WAL,Wales,M,9166,/leagues/9166/overview/welsh-cup
